id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/2179614,Volume Information,The Philosophical Review,1936,,article,misc,jstor,,1936-01-01,1,45,http://www.jstor.org/stable/2179614,,Duke University Press,eng,i,x,,,1979,9,unigram; bigram; trigram
ark://27927/phw8czqg6s,Recent Publications,Philosophy and Phenomenological Research,2007,10.1111/j.1933-1592.2007.00073.x,article,,portico,,2007-07-01,1,75,http://doi.org/10.1111/j.1933-1592.2007.00073.x,,"John Wiley & Sons, Inc.",eng,231,232,,reproductive fitness; freedom; darwinism; richardson; values; nietzsche; choose; teleological explanation; new darwinism; darwinian,1869,4,unigram; bigram; trigram
ark://27927/phw8d02r1b,Précis of Ethical Intuitionism,Philosophy and Phenomenological Research,2009,10.1111/j.1933-1592.2008.00238.x,article,,portico,,2009-01-01,1,78,http://doi.org/10.1111/j.1933-1592.2008.00238.x,MICHAEL HUEMER,"John Wiley & Sons, Inc.",eng,192,196,,intuitionism; evaluative; cognitivism; ethical; ethical intuitionism; evaluative properties; reductionists; epistemically impotent; theories; evaluative facts,1720,5,unigram; bigram; trigram
ark://27927/phzp9hbxjdj,The Platonist's Concept of Language,The Journal of Philosophy,1954,10.2307/2020595,article,,portico,,1954-01-01,25,51,http://doi.org/10.2307/2020595,Frederick Sontag,Philosophy Documentation Center,eng,823,830,,,3750,8,unigram; bigram; trigram
http://www.jstor.org/stable/2025939,Back Matter,The Journal of Philosophy,1979,,article,misc,jstor,,1979-09-01,9,76,http://www.jstor.org/stable/2025939,,"Journal of Philosophy, Inc.",eng,518,518,,,2144,7,unigram; bigram; trigram
http://www.jstor.org/stable/20129605,Review Article,The Review of Metaphysics,1994,,article,book-review,jstor,,1994-06-01,4,47,http://www.jstor.org/stable/20129605,Kurt Pritzl,Philosophy Education Society Inc.,eng,836,837,,,1009,2,unigram; bigram; trigram
http://www.jstor.org/stable/2653550,Review Article,Philosophy and Phenomenological Research,2001,,article,book-review,jstor,,2001-05-01,3,62,http://www.jstor.org/stable/2653550,Mark van Roojen,International Phenomenological Society,eng,721,723,,,1621,3,unigram; bigram; trigram
http://www.jstor.org/stable/2182617,Valuational Naturalism and Moral Discourse,The Philosophical Review,1958,,article,research-article,jstor,,1958-04-01,2,67,http://www.jstor.org/stable/2182617,Roy Wood Sellars,Duke University Press,eng,243,251,,,3953,9,unigram; bigram; trigram
http://www.jstor.org/stable/2246462,Miscellaneous,Mind,1882,,article,misc,jstor,,1882-04-01,26,7,http://www.jstor.org/stable/2246462,,Oxford University Press,eng,318,320,,,1365,3,unigram; bigram; trigram
http://www.jstor.org/stable/2998264,Review Article,The Philosophical Review,1999,,article,book-review,jstor,,1999-01-01,1,108,http://www.jstor.org/stable/2998264,Nicholas L. Sturgeon,Duke University Press,eng,94,97,,,1769,4,unigram; bigram; trigram
http://www.jstor.org/stable/2248023,Dr. Ward's Refutation of Dualism,Mind,1900,,article,research-article,jstor,,1900-07-01,35,9,http://www.jstor.org/stable/2248023,E. E. C. Jones,Oxford University Press,eng,356,371,,,6977,16,unigram; bigram; trigram
http://www.jstor.org/stable/2184376,Review Article,The Philosophical Review,1981,,article,book-review,jstor,,1981-01-01,1,90,http://www.jstor.org/stable/2184376,Stanley Munsat,Duke University Press,eng,120,122,,,1114,3,unigram; bigram; trigram
ark://27927/phzp9dhj22g,Moral Perception and Particularity by Lawrence A. Blum,The Journal of Philosophy,1996,10.5840/jphil199693243,article,,portico,,1996-01-01,2,93,http://doi.org/10.5840/jphil199693243,David McNaughton,Philosophy Documentation Center,eng,89,92,,,1825,4,unigram; bigram; trigram
http://www.jstor.org/stable/185519,General Mensurational Gestaltism,Philosophy of Science,1949,,article,research-article,jstor,,1949-07-01,3,16,http://www.jstor.org/stable/185519,George Y. Rusk,The University of Chicago Press,eng,250,259,,,5033,10,unigram; bigram; trigram
http://www.jstor.org/stable/41721219,Locke and the Visual Array,Philosophy and Phenomenological Research,2012,,article,research-article,jstor,,2012-07-01,1,85,http://www.jstor.org/stable/41721219,MICHAEL JACOVIDES,International Phenomenological Society,eng,69,91,,,9928,23,unigram; bigram; trigram
